,1,2,3,4,5,6
,100%,100%,100%,100%,100%,100%
2026-05-19,45,45,45,45,45,60
2026-05-20,45,40,45,45,45,55
2026-05-21,40,40,45,45,40,55
2026-05-22,45,45,50,50,45,60
2026-05-23,50,45,50,50,50,65
2026-05-24,50,50,55,55,50,65
2026-05-25,50,50,55,55,50,65
2026-05-26,50,50,55,55,50,65
2026-05-27,50,45,50,50,50,60
2026-05-28,45,45,45,45,45,45
2026-05-29,50,50,50,50,50,50
2026-05-30,50,50,50,50,50,50
2026-05-31,60,60,60,60,60,60
2026-06-01,60,60,60,60,60,60
2026-06-02,65,65,65,65,65,65
2026-06-03,55,55,55,55,55,55
2026-06-04,55,55,55,55,55,55
2026-06-05,55,55,55,55,55,55
2026-06-06,60,60,60,60,60,60
2026-06-07,55,55,55,55,55,55
2026-06-08,65,65,65,65,65,65
2026-06-09,65,65,65,65,65,65
2026-06-10,60,60,60,60,60,60
2026-06-11,60,60,60,60,60,60
2026-06-12,60,60,60,60,60,60
2026-06-13,60,60,60,60,60,60
2026-06-14,75,75,75,75,75,75
2026-06-15,80,80,80,80,80,80
2026-06-16,85,85,85,85,85,85
2026-06-17,105,105,105,105,105,105
2026-06-18,120,120,120,120,120,120
2026-06-19,120,120,120,120,120,120
2026-06-20,120,120,120,120,120,120
2026-06-21,120,120,120,120,120,120
2026-06-22,120,120,120,120,120,120
2026-06-23,115,115,115,115,115,115
2026-06-24,115,115,115,115,115,115
2026-06-25,115,115,115,115,115,115
2026-06-26,115,115,115,115,115,115
2026-06-27,115,115,115,115,115,115
2026-06-28,105,105,105,105,105,105
2026-06-29,100,100,100,100,100,100
2026-06-30,100,100,100,100,100,100
2026-07-01,95,95,95,95,95,95
2026-07-02,75,75,75,75,75,75
2026-07-03,75,75,75,75,75,75
2026-07-04,75,75,75,75,75,75
2026-07-05,75,75,75,75,75,75
2026-07-06,80,80,80,80,80,80
2026-07-07,80,80,80,80,80,80
2026-07-08,75,75,75,75,75,75
2026-07-09,70,70,70,70,70,70
2026-07-10,75,75,75,75,75,75
2026-07-11,75,75,75,75,75,75
2026-07-12,70,70,70,70,70,70
2026-07-13,80,80,80,80,80,80
2026-07-14,80,80,80,80,80,80
2026-07-15,75,75,75,75,75,75
2026-07-16,75,75,75,75,75,75
2026-07-17,80,80,80,80,80,80
2026-07-18,80,80,80,80,80,80
2026-07-19,75,75,75,75,75,75
2026-07-20,85,85,85,85,85,85
2026-07-21,85,85,85,85,85,85
2026-07-22,75,75,75,75,75,75
2026-07-23,75,75,75,75,75,75
2026-07-24,80,80,80,80,80,80
2026-07-25,80,80,80,80,80,80
2026-07-26,80,80,80,80,80,80
2026-07-27,85,85,85,85,85,85
2026-07-28,90,90,90,90,90,90
2026-07-29,80,80,80,80,80,80
2026-07-30,75,75,75,75,75,75
2026-07-31,80,80,80,80,80,80
2026-08-01,85,85,85,85,85,85
2026-08-02,85,85,85,85,85,85
2026-08-03,95,95,95,95,95,95
2026-08-04,95,95,95,95,95,95
2026-08-05,80,80,80,80,80,80
2026-08-06,85,85,85,85,85,85
2026-08-07,85,85,85,85,85,85
2026-08-08,80,80,80,80,80,80
2026-08-09,85,85,85,85,85,85
2026-08-10,105,105,105,105,105,105
2026-08-11,110,110,110,110,110,110
2026-08-12,85,85,85,85,85,85
2026-08-13,80,80,80,80,80,80
2026-08-14,80,80,80,80,80,80
2026-08-15,80,80,80,80,80,80
2026-08-16,95,95,95,95,95,95
2026-08-17,95,95,95,95,95,95
2026-08-18,95,95,95,95,95,95
2026-08-19,90,90,90,90,90,90
2026-08-20,90,90,90,90,90,90
2026-08-21,85,85,85,85,85,85
2026-08-22,85,85,85,85,85,85
2026-08-23,85,85,85,85,85,85
2026-08-24,90,90,90,90,90,90
2026-08-25,85,85,85,85,85,85
2026-08-26,75,75,75,75,75,75
2026-08-27,80,80,80,80,80,80
2026-08-28,90,90,90,90,90,90
2026-08-29,90,90,90,90,90,90
2026-08-30,90,90,90,90,90,90
2026-08-31,90,90,90,90,90,90
2026-09-01,95,95,95,95,95,95
2026-09-02,90,90,90,90,90,90
2026-09-03,80,80,80,80,80,80
2026-09-04,95,95,95,95,95,95
2026-09-05,95,95,95,95,95,95
2026-09-06,100,100,100,100,100,100
2026-09-07,100,100,100,100,100,100
2026-09-08,100,100,100,100,100,100
2026-09-09,105,105,105,105,105,105
2026-09-10,95,95,95,95,95,95
2026-09-11,90,90,90,90,90,90
2026-09-12,90,90,90,90,90,90
2026-09-13,95,95,95,95,95,95
2026-09-14,95,95,95,95,95,95
2026-09-15,95,95,95,95,95,95
2026-09-16,85,85,85,85,85,85
2026-09-17,80,80,80,80,80,80
2026-09-18,80,80,80,80,80,80
2026-09-19,85,85,85,85,85,85
2026-09-20,95,95,95,95,95,95
2026-09-21,95,95,95,95,95,95
2026-09-22,95,95,95,95,95,95
2026-09-23,90,90,90,90,90,90
2026-09-24,80,80,80,80,80,80
2026-09-25,75,75,75,75,75,75
2026-09-26,80,80,80,80,80,80
2026-09-27,80,80,80,80,80,80
2026-09-28,85,85,85,85,85,85
2026-09-29,90,90,90,90,90,90
2026-09-30,90,90,90,90,90,90
2026-10-01,75,75,75,75,75,75
2026-10-02,75,75,75,75,75,75
2026-10-03,75,75,75,75,75,75
2026-10-04,80,80,80,80,80,80
2026-10-05,85,85,85,85,85,85
2026-10-06,90,90,90,90,90,90
2026-10-07,85,85,85,85,85,85
2026-10-08,80,80,80,80,80,80
2026-10-09,85,85,85,85,85,85
2026-10-10,85,85,85,85,85,85
2026-10-11,85,85,85,85,85,85
2026-10-12,85,85,85,85,85,85
2026-10-13,90,90,90,90,90,90
2026-10-14,85,85,85,85,85,85
2026-10-15,75,75,75,75,75,75
2026-10-16,80,80,80,80,80,80
2026-10-17,75,75,75,75,75,75
2026-10-18,80,80,80,80,80,80
2026-10-19,85,85,85,85,85,85
2026-10-20,85,85,85,85,85,85
2026-10-21,75,75,75,75,75,75
2026-10-22,75,75,75,75,75,75
2026-10-23,75,75,75,75,75,75
2026-10-24,75,75,75,75,75,75
2026-10-25,75,75,75,75,75,75
2026-10-26,85,85,85,85,85,85
2026-10-27,90,90,90,90,90,90
2026-10-28,80,80,80,80,80,80
2026-10-29,75,75,75,75,75,75
2026-10-30,75,75,75,75,75,75
2026-10-31,80,80,80,80,80,80
2026-11-01,80,80,80,80,80,80
2026-11-02,85,85,85,85,85,85
2026-11-03,90,90,90,90,90,90
2026-11-04,75,75,75,75,75,75
2026-11-05,75,75,75,75,75,75
2026-11-06,75,75,75,75,75,75
2026-11-07,80,80,80,80,80,80
2026-11-08,85,85,85,85,85,85
2026-11-09,90,90,90,90,90,90
2026-11-10,95,95,95,95,95,95
2026-11-11,80,80,80,80,80,80
2026-11-12,85,85,85,85,85,85
2026-11-13,85,85,85,85,85,85
2026-11-14,85,85,85,85,85,85
2026-11-15,95,95,95,95,95,95
2026-11-16,100,100,100,100,100,100
2026-11-17,105,105,105,105,105,105
2026-11-18,85,85,85,85,85,85
