plan,switches,total_price,full_price,preferred_nights,segment_detail,label,equivalent_alternatives,warning
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 26),4,2622.75,3915.0,30,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 8: 18 nights × avg £105.00, 35% off = £1228.50",fewest switches,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 8 (Jul 8–Jul 26),4,2656.9,3965.0,32,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 5 nights × avg £123.00, 32% off = £418.20 | Room 8: 18 nights × avg £105.00, 35% off = £1228.50",fewest switches,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 7) → Room 8 (Jul 7–Jul 26),4,2699.25,3990.0,33,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 4 nights × avg £123.75, 26% off = £366.30 | Room 8: 19 nights × avg £107.11, 35% off = £1322.75",fewest switches,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 6) → Room 8 (Jul 6–Jul 26),4,2701.0,4010.0,34,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 8: 20 nights × avg £109.00, 35% off = £1417.00",fewest switches,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 26),4,2728.4,4045.0,37,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 20 nights × avg £109.00, 35% off = £1417.00","fewest switches, most preferred nights",,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Jul 26),5,2699.15,4000.0,37,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 13 nights × avg £91.54, 35% off = £773.50",most preferred nights,Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Jul 26); Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Jul 26),UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 22) → Room 5 (Jun 22–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 6 (Jul 15–Jul 26),6,2410.45,3545.0,7,"Room 3: 3 nights × avg £75.00, 26% off = £166.50 | Room 5: 5 nights × avg £70.00, 32% off = £238.00 | Room 2: 1 night × avg £105.00, 0% off = £105.00 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 6: 11 nights × avg £80.00, 35% off = £572.00",cheapest,Room 3 (Jun 19–Jun 22) → Room 5 (Jun 22–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 6 (Jul 16–Jul 26); Room 3 (Jun 19–Jun 22) → Room 5 (Jun 22–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 17) → Room 6 (Jul 17–Jul 26),UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 6 (Jul 15–Jul 26),5,2414.75,3595.0,12,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 6: 11 nights × avg £80.00, 35% off = £572.00",,Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 6 (Jul 16–Jul 26); Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 17) → Room 6 (Jul 17–Jul 26),UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 6 (Jul 15–Jul 26),5,2448.9,3645.0,14,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 5 nights × avg £123.00, 32% off = £418.20 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 6: 11 nights × avg £80.00, 35% off = £572.00",,Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 6 (Jul 16–Jul 26); Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 11 (Jul 8–Jul 17) → Room 6 (Jul 17–Jul 26),UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 19) → Room 3 (Jul 19–Jul 26),5,2463.5,3670.0,19,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 11 nights × avg £92.27, 35% off = £659.75 | Room 3: 7 nights × avg £90.00, 35% off = £409.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 18) → Room 3 (Jul 18–Jul 26),5,2473.25,3685.0,20,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 10 nights × avg £93.00, 35% off = £604.50 | Room 3: 8 nights × avg £91.25, 35% off = £474.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 17) → Room 3 (Jul 17–Jul 26),5,2483.0,3700.0,21,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 9 nights × avg £93.89, 35% off = £549.25 | Room 3: 9 nights × avg £92.22, 35% off = £539.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 3 (Jul 16–Jul 26),5,2492.75,3715.0,22,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 8 nights × avg £96.25, 35% off = £500.50 | Room 3: 10 nights × avg £92.00, 35% off = £598.00",,,UNALLOCATED bookings overlap this range (8)
